Airfoil,CL,CD,CM,CL/CD
GOE 596 AIRFOIL,[0.97714307],[0.00581353],[-0.080138],[168.08090762]
EPPLER 552 AIRFOIL,[1.00165863],[0.0059603],[-0.09570779],[168.0551212]
GOE 692 AIRFOIL,[1.12769871],[0.00671861],[-0.12459023],[167.84709575]
GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL,[0.98906172],[0.00589946],[-0.05764981],[167.65301993]
GOE 265 AIRFOIL,[1.24215475],[0.00741083],[-0.11815025],[167.61355264]
USA 41 AIRFOIL,[1.0220081],[0.00610031],[-0.09638388],[167.53385501]
NACA M21 AIRFOIL,[0.96220762],[0.00574363],[-0.05168602],[167.52612758]
GOE 508 AIRFOIL,[1.10732805],[0.00661034],[-0.10002575],[167.51447892]
USA 22 AIRFOIL,[0.99429405],[0.00593798],[-0.07886174],[167.44659641]
GOE 413 AIRFOIL,[1.14998044],[0.00686957],[-0.12354458],[167.40199581]
GOE 433 AIRFOIL,[1.2182349],[0.00727907],[-0.1437072],[167.36144167]
GOE 164 (MVA MK.10) AIRFOIL,[1.32114098],[0.00790335],[-0.16066723],[167.16220488]
GOE 308 (MVA H.40) AIRFOIL,[0.95195582],[0.00569728],[-0.06711013],[167.0894821]
GOE 532 AIRFOIL,[1.11237539],[0.0066635],[-0.09849177],[166.93548588]
GOE 385 AIRFOIL,[0.98650739],[0.00590974],[-0.07624297],[166.92911048]
GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL,[0.93603312],[0.00560836],[-0.06074936],[166.89969135]
NACA 6-H-20 AIRFOIL,[0.84804321],[0.00508411],[-0.00363889],[166.80276109]
GOE 400 AIRFOIL,[0.97758366],[0.00586113],[-0.07657095],[166.79098483]
GOE 394 AIRFOIL,[1.10119343],[0.00660361],[-0.10843966],[166.75632202]
S4320,[1.03477513],[0.00620819],[-0.09246336],[166.6789715]
GOE 137 (MVA H.15) AIRFOIL,[0.99558591],[0.00597316],[-0.08236476],[166.67668474]
WORTMANN FX 63-137 AIRFOIL,[1.50984095],[0.00906115],[-0.21561926],[166.62790081]
FX 78-PK-188/20,[0.84533649],[0.00507597],[-0.0684059],[166.53698549]
E385  (8.41%),[1.27517377],[0.0076647],[-0.16179513],[166.3696224]
GOE 316 (HANSA-BRANDENBURG IV.5) AIRFOIL,[0.94138102],[0.0056646],[-0.05826707],[166.18671208]
RAF 32 AIRFOIL,[1.12898064],[0.00679615],[-0.13635541],[166.12054467]
GOE 404 AIRFOIL,[1.06428961],[0.0064099],[-0.0834184],[166.03828436]
